name,street,city,state,longitude,latitude
"Agoura Hills - Lab","","","",,
"Alturas537","903 W C St","Alturas","CA",-120.54976041217726,41.49162265011788
"Anaheim698","3170 West Lincoln Avenue","Anaheim","CA",-118.00033097993598,33.8314260141139
"Arleta587","14400 Van Nuys Blvd","Arleta","CA",-118.44528699221335,34.24789499689261
"Arvin661","317 Campus Dr","Arvin","CA",-118.83331734504222,35.211020758600085
"Auburn570","11722 Enterprise Dr","Auburn","CA",-121.08411892990134,38.90768005183836
"Bakersfield529","3120 F St","Bakersfield","CA",-119.02239896311536,35.3882279877496
"BakersfieldSW679","7000 Schirra Ct","Bakersfield","CA",-119.0796760279125,35.31701999032731
"Banning641","1034 W. Ramsey St.  #B","Banning","CA",-116.88797003444655,33.92501901552315
"Barstow582","528 East Virginia Way","Barstow","CA",-117.02022800083283,34.88756999601031
"Bellflower606","9520 Artesia Blvd","Bellflower","CA",-118.13092488708483,33.87468274789813
"BellGardens576","6801 S. Garfield Ave.","Bell Gardens","CA",-118.14918103262798,33.970070829227744
"Bishop585","1115 West Line Street","Bishop","CA",-118.41167899706014,37.36172600992104
"Blythe528","430-B  S. Broadway","Blythe","CA",-114.59628696301779,33.60421298705238
"Brawley597","1175 E Main St","Brawley","CA",-115.52264425776723,32.97869661687873
"Capitola550","4200 Capitola Rd","Capitola","CA",-121.96286195980518,36.97331201144182
"Carmichael625","5209 North Ave","Carmichael","CA",-121.34299833025521,38.6246494127036
"Chico520","107 Parmac Rd. #1","Chico","CA",-121.85000700962264,39.753481000547055
"ChulaVista613","30 N Glover Ave","Chula Vista","CA",-117.08713997951111,32.65158601228687
"Clearlake830","14844 Olympic Dr","Clearlake","CA",-122.63388399797743,38.96187986648558
"Clovis580","2103 Shaw Avenue","Clovis","CA",-119.67648396253422,36.809511979487496
"Coalinga603","406 E. Elm St.","Coalinga","CA",-120.35660097392118,36.14318701259009
"Colusa564","1025 Bridge St","Suite B Colusa","CA",-122.00292703788864,39.203590014578594
"Compton581","2111 S Santa Fe Ave","Compton","CA",-118.21503679997575,33.8768069422609
"Concord523","2070 Diamond Blvd","Concord","CA",-122.05627500175325,37.974862017657074
"CorteMadera534","75 Tamal Vista Blvd","Corte Madera","CA",-122.5175159622531,37.93476399869414
"CostaMesa628","650 W 19th St","Costa Mesa","CA",-117.92552500866611,33.64413800353377
"CrescentCity524","1475 Parkway Dr","Crescent City","CA",-124.18469502785462,41.77194499958864
"CulverCity514","11400 W Washington Blvd","Los Angeles","CA",-118.4151220314275,34.002635983751446
"DalyCity599","1500 Sullivan Ave","Daly City","CA",-122.47282197814101,37.6892920013933
"Davis598","505 Pole Line Rd","Davis","CA",-121.7272340048697,38.54935300934565
"Delano615","631 Jefferson St","Delano","CA",-119.24388396518486,35.76505299926039
"ElCajon669","1450 Graves Ave","El Cajon","CA",-116.95987796269353,32.81730298549742
"ElCentro527","233 N Imperial Ave","El Centro","CA",-115.56965600492882,32.79475801288838
"ElCerrito556","6400 Manila Ave","El Cerrito","CA",-122.3106509938134,37.916078260865596
"ElMonte685","4000 Arden Drive","El Monte","CA",-118.0447119837835,34.08050298415148
"Eureka526","3300 Broadway Street Suite 906","Eureka","CA",-124.18806360489002,40.77881016363597
"Fairfield621","160 Serrano Drive","Fairfield","CA",-122.07296697519392,38.24665398720961
"FallRiverMills643","43467  Hwy 299 E.","Fall River Mills","CA",-121.42810701459092,41.019638008912864
"Folsom655","323 E. Bidwell  #A","Folsom","Ca",-121.16779188245366,38.67399090301659
"Fontana657","8026 Hemlock Ave","Fontana","CA",-117.47698799589509,34.1078530084844
"FontanaCDTC699","10207 Poplar Ave","Fontana","CA",-117.46187701703137,34.06776299423899
"FontanaDLPC688","16499 Merrill Avenue","Fontana","CA",-117.44451824473295,34.09205200899718
"FortBragg590","410 S Franklin St","Fort Bragg","CA",-123.80418797200741,39.43787598490616
"Fremont644","4287 Central Ave","Fremont","CA",-122.0072059994597,37.553344991781444
"Fresno505","655 W Olive Ave","Fresno","CA",-119.8197910375054,36.7571649825001
"FresnoCDTC215","735 E North Ave","Fresno","CA",-119.77655500163164,36.691738989526286
"FresnoNorth646","6420 N Blackstone Ave","Fresno","CA",-119.78847800744161,36.83097597995352
"Fullerton607","909 W Valencia Dr","Fullerton","CA",-117.94078501776829,33.86704101407297
"Garberville627","1180 Evergreen Rd","Redway","CA",-123.80065600564734,40.12082201434339
"GardenaCDTC498","14825 S Avalon Blvd","Gardena","CA",-118.26624199667305,33.8970180106801
"Gilroy623","6984 Automall Pkwy.","Suite A Gilroy","CA",-121.55860302111068,37.0017130007044
"Glendale510","1335 W Glenoaks Blvd","Glendale","CA",-118.28341903085048,34.167006990950085
"Goleta670","7127 Hollister Ave.  #24/26","Goleta","CA",-119.87759795072459,34.429904884149565
"GrassValley541","890 Sutton Way","Grass Valley","CA",-121.03451396386815,39.235677993500445
"Hanford565","701 W Hanford Armona Rd","Hanford","CA",-119.65556298366542,36.31294397931218
"Hawthorne609","3700 W El Segundo Blvd","Hawthorne","CA",-118.33809301179744,33.915484013927866
"Hayward579","150 Jackson St","Hayward","CA",-122.08642828555297,37.65886516760744
"Hemet635","1200 S State St","Hemet","CA",-116.96981403835575,33.727838012263106
"Hollister546","80 N Sally St","Hollister","CA",-121.40012101335456,36.8582340128991
"HollywoodCole508","803 Cole Ave Central LA","Los Angeles","CA",-118.33016901199248,34.08544499617324
"HollywoodWest652","936 N Formosa Ave","West Hollywood","CA",-118.3457949749873,34.088316007558404
"Indio578","44480 Jackson St","Indio","CA",-116.2157610134295,33.72623597910918
"Inglewood610","621 N La Brea Ave","Inglewood","CA",-118.35725203079974,33.96996801903936
"Jackson521","201 Clinton Rd","Jackson","CA",-120.76432800887355,38.34235201978234
"KingCity647","101 E San Antonio Dr.","King City","CA",-121.12728696368974,36.22239800925479
"LagunaHills605","23535 Moulton Pkwy","Laguna Hills","CA",-117.7316565128338,33.62058879186089
"LakeIsabella687","5520 Lake Isabella Rd.  #G-1","Lake Isabella","CA",-118.477677504638,35.61762340718606
"Lakeport530","965 Parallel Dr","Lakeport","CA",-122.9271929631602,39.035817002428615
"Lancaster595","720 West Ave. L6","Lancaster","Ca",-118.14378961283334,34.65478274648965
"LincolnPark617","3529 N Mission Rd","Los Angeles","CA",-118.20294399392357,34.06763220529874
"Lodi622","1222 Pixley Parkway","Lodi","CA",-121.2515159888433,38.11869597906187
"Lompoc692","1601 N H St","Lompoc","CA",-120.45842802173385,34.66347801250568
"LongBeach507","3700 E Willow St","Long Beach","CA",-118.14947797830658,33.80360601646994
"LosAngeles502","3615 S Hope St","Los Angeles","CA",-118.27919798823037,34.017989995897736
"LosBanos650","814 W L St","Los Banos","CA",-120.8628449593032,37.0598739791009
"LosGatos640","600 N Santa Cruz Ave","Los Gatos","CA",-121.97847983924572,37.23393212836624
"Madera533","1206 Maple St","Madera","CA",-120.07256995889944,36.94947098705427
"Manteca658","955 Davis St","Manteca","CA",-121.22967855175031,37.80061368898333
"Mariposa566","5264 Hwy. 49  North","Mariposa","CA",-119.97980399987651,37.49618401634329
"MendotaTravelRun822","655 Quince St","Mendota","CA",-120.3826146846845,36.75410908310133
"Merced536","1313 W 12th St","Merced","CA",-120.4984439818647,37.301354011195414
"Modesto557","124 Burney St","Modesto","CA",-120.98888168395553,37.63846553457317
"Montebello511","424 N Wilcox Ave","Montebello","CA",-118.1225480130513,34.01942900103491
"Mt.Shasta639","154 Morgan Way","Mount Shasta","CA",-122.31687674272443,41.31003951523935
"Napa540","2550 Napa Valley Corporate Dr","Napa","CA",-122.2741080086092,38.25533998583225
"Needles584","1040 E. Broadway","Needles","CA",-114.59528096699867,34.82489599139657
"Newhall662","24427 Newhall Ave","Newhall","CA",-118.53316898389402,34.37950198276877
"Norco586","3201 Horseless Carriage Dr","Norco","CA",-117.56224657689128,33.928333576660314
"Novato686","936  7th St.  Ste. A","Novato","CA",-122.57757003539129,38.10747998678474
"OaklandClaremont504","5300 Claremont Ave. 1st Flr.","Oakland","CA",-122.25979096361426,37.83956498272697
"OaklandColiseum604","501 85th Ave","Oakland","CA",-122.19319598851408,37.73955399996581
